Date,StockCode,ATC,Floor,MainIndex,PSGD
2023-04-28,VE3,10.5,HNX,NULL,CHIU
2023-04-28,MCO,4.2,HNX,NULL,CHIU
2023-04-28,SMN,13.3,HNX,NULL,CHIU
2023-04-28,BTS,5.9,HNX,NULL,CHIU
2023-04-28,PGS,25.9,HNX,NULL,CHIU
2023-04-28,BCC,11.3,HNX,NULL,CHIU
2023-04-28,ADC,15.5,HNX,NULL,CHIU
2023-04-28,TTZ,1.8,HNX,NULL,CHIU
2023-04-28,CTP,3.1,HNX,NULL,CHIU
2023-04-28,CPC,15.5,HNX,NULL,CHIU
2023-04-28,TIG,8.6,HNX,NULL,CHIU
2023-04-28,DAE,19.5,HNX,NULL,CHIU
2023-04-28,NBW,24.8,HNX,NULL,CHIU
2023-04-28,NAG,16.0,HNX,NULL,CHIU
2023-04-28,HTP,40.0,HNX,NULL,CHIU
2023-04-28,BAB,13.5,HNX,NULL,CHIU
2023-04-28,PC1,28.5,HOSE,NULL,CHIU
2023-04-28,QBS,1.85,HOSE,NULL,CHIU
2023-04-28,SFI,32.7,HOSE,NULL,CHIU
2023-04-28,CNG,29.3,HOSE,NULL,CHIU
2023-04-28,PGV,19.3,HOSE,NULL,CHIU
2023-04-28,FTS,28.0,HOSE,NULL,CHIU
2023-04-28,SZC,32.55,HOSE,NULL,CHIU
2023-04-28,SBA,24.35,HOSE,NULL,CHIU
2023-04-28,SZL,53.7,HOSE,NULL,CHIU
2023-04-28,BCE,5.9,HOSE,NULL,CHIU
2023-04-28,DPR,51.5,HOSE,NULL,CHIU
2023-04-28,VTO,8.97,HOSE,NULL,CHIU
2023-04-28,LM8,11.2,HOSE,NULL,CHIU
2023-04-28,KMR,2.81,HOSE,NULL,CHIU
2023-04-28,HRC,54.3,HOSE,NULL,CHIU
2023-04-28,TIP,20.75,HOSE,NULL,CHIU
2023-04-28,DHA,35.75,HOSE,NULL,CHIU
2023-04-28,KSB,24.7,HOSE,NULL,CHIU
2023-04-28,HPG,21.65,HOSE,VN30,CHIU
2023-04-28,MCG,1.78,HOSE,NULL,CHIU
2023-04-28,FUEKIV30,6.98,HOSE,NULL,CHIU
2023-04-28,DRH,5.05,HOSE,NULL,CHIU
2023-04-28,HPX,4.16,HOSE,NULL,CHIU
2023-04-28,LBM,42.8,HOSE,NULL,CHIU
2023-04-28,THI,24.75,HOSE,NULL,CHIU
2023-04-28,DHM,9.49,HOSE,NULL,CHIU
2023-04-28,PVD,20.95,HOSE,NULL,CHIU
2023-04-28,D2D,26.0,HOSE,NULL,CHIU
2023-04-28,DIG,18.7,HOSE,NULL,CHIU
2023-04-28,BAF,20.4,HOSE,NULL,CHIU
2023-04-28,GEG,16.0,HOSE,NULL,CHIU
2023-04-28,FCN,11.25,HOSE,NULL,CHIU
2023-04-28,TMS,50.4,HOSE,NULL,CHIU
2023-04-28,HVN,12.1,HOSE,NULL,CHIU
2023-04-28,TNA,5.31,HOSE,NULL,CHIU
2023-04-28,VRE,27.7,HOSE,VN30,CHIU
2023-04-28,ACG,40.0,HOSE,NULL,CHIU
2023-04-28,REE,66.5,HOSE,VN30,CHIU
2023-04-28,TNI,2.71,HOSE,NULL,CHIU
2023-04-28,NBB,13.1,HOSE,NULL,CHIU
2023-04-28,JVC,3.65,HOSE,NULL,CHIU
2023-04-28,BBC,59.7,HOSE,NULL,CHIU
2023-04-28,VSC,28.15,HOSE,NULL,CHIU
2023-04-28,SMC,10.4,HOSE,NULL,CHIU
2023-04-28,SCR,7.62,HOSE,NULL,CHIU
2023-04-28,FUCVREIT,7.09,HOSE,NULL,CHIU
2023-04-28,VSI,16.85,HOSE,NULL,CHIU
2023-04-28,CMV,9.14,HOSE,NULL,CHIU
2023-04-28,SFC,18.0,HOSE,NULL,CHIU
2023-04-28,ABR,12.5,HOSE,NULL,CHIU
2023-04-28,TIX,34.0,HOSE,NULL,CHIU
2023-04-28,NHC,29.5,HNX,NULL,CHIU
2023-04-28,NET,41.5,HNX,NULL,CHIU
2023-04-28,HEV,35.0,HNX,NULL,CHIU
2023-04-28,CSC,37.2,HNX,NULL,CHIU
2023-04-28,SPC,16.6,HNX,NULL,CHIU
2023-04-28,KVC,1.2,HNX,NULL,CHIU
2023-04-28,NST,5.8,HNX,NULL,CHIU
2023-04-28,PMP,12.2,HNX,NULL,CHIU
2023-04-28,VSM,18.4,HNX,NULL,CHIU
2023-04-28,STP,6.3,HNX,NULL,CHIU
2023-04-28,CLH,29.8,HNX,NULL,CHIU
2023-04-28,VID,5.11,HOSE,NULL,CHIU
2023-04-28,EIB,18.9,HOSE,NULL,CHIU
2023-04-28,PIA,26.0,HNX,NULL,CHIU
2023-04-28,VE1,2.6,HNX,NULL,CHIU
2023-04-28,GDW,25.4,HNX,NULL,CHIU
2023-04-28,CKG,23.15,HOSE,NULL,CHIU
2023-04-28,LAS,9.1,HNX,NULL,CHIU
2023-04-28,TAR,15.2,HNX,NULL,CHIU
2023-04-28,DVG,2.6,HNX,NULL,CHIU
2023-04-28,VAF,9.51,HOSE,NULL,CHIU
2023-04-28,PVP,11.95,HOSE,NULL,CHIU
2023-04-28,FCM,3.95,HOSE,NULL,CHIU
2023-04-28,VCG,19.15,HOSE,HNX30,CHIU
